retailer,brand,model,product_url,colourway_shown,colourways_available,price_gbp,delivery_cost_gbp,assembly_cost_gbp,landed_cost_gbp,over_budget,arrives_assembled,mounting,top_width_cm,top_depth_cm,top_load_kg,overall_width_cm,overall_depth_cm,overall_height_cm,bays_json,back_panel,cable_management,frame_material,finish_material,leg_style,warranty,spare_parts_available,returns_window,delivery_lead_time,review_score,review_count,notes
IKEA,IKEA,BESTA TV bench 180x40x38 white,https://www.ikea.com/gb/en/p/besta-tv-bench-white-00474070/,White,,75,39,,114,,self,floor,180,40,30,180,40,38,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",ported,Cable outlet in back panel,Particleboard and fibreboard with honeycomb paper filling,White foil,Adjustable feet,,,,,,,"Open frame, no shelves or doors fitted. Internal compartment sizes not published by IKEA. Delivery is IKEA's published large-item rate (~GBP 39), not a quote for this order."
IKEA,IKEA,BESTA TV bench with doors 180x42x38 Lappviken white,https://www.ikea.com/gb/en/p/besta-tv-bench-white-lappviken-white-s89330691/,White / Lappviken white,,150,39,,189,,self,floor,180,42,30,180,42,38,"[{""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",ported,Cable outlet in back panel,Particleboard and fibreboard with honeycomb paper filling,White foil,,Max load per shelf 20kg,,,,,,"Every compartment is behind a door, so there is no open bay for a PS5. Deep enough for the soundbar in front. Delivery is IKEA's published large-item rate."
IKEA,IKEA,HAVSTA TV bench with plinth 160x47x62 white,https://www.ikea.com/gb/en/p/havsta-tv-bench-with-plinth-white-10529270/,White,"White, Black",279,39,,318,,self,floor,160,47,30,160,47,62,"[{""kind"": ""glass-door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",ported,Built-in cable management,Solid pine,"Stain and clear acrylic lacquer, tempered glass doors",Plinth,,,,,,,"Deepest top surface found at 47cm. Sliding glass doors, so the bays are usable for a PS5 in principle, but IKEA does not publish internal compartment sizes. Max load per shelf 31kg."
IKEA,IKEA,IDANAS TV bench 162x40x63 dark brown stained,https://www.ikea.com/gb/en/p/idanaes-tv-bench-dark-brown-stained-50487857/,Dark brown stained,,249,39,,288,,self,floor,162,40,,162,40,63,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Solid wood,,,,,,,,,Two open shelves plus two soft-closing drawers. Internal sizes not published.
Roseland Furniture,Roseland,London Oak 180cm Extra Wide TV Stand,https://www.roselandfurniture.com/products/london-oak-180cm-extra-wide-tv-stand,Light oak,,216.61,19.99,,236.6,,yes,floor,180,35,,180,35,48,"[{""kind"": ""open"", ""count"": 4, ""widthCm"": 42.2, ""depthCm"": 32.5, ""heightCm"": 14.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": 44, ""depthCm"": 32.5, ""heightCm"": 14.5}]",open,Cable holes in shelves,Solid oak with real oak veneer top; solid and manufactured wood internals,Lacquered light oak,7cm feet,12 month guarantee,,,3-5 working days,,,"Bay easily takes a flat PS5, but the 35cm top is 2cm too shallow for the TV base and soundbar in line. Arrives fully assembled, 2-person room of choice."
Roseland Furniture,Roseland,Broadway Oak 180cm TV Unit,https://www.roselandfurniture.com/products/broadway-oak-180cm-tv-unit,Oak,,424.95,19.99,,444.94,,yes,floor,180,44,,180,44,55,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": 78, ""depthCm"": 40.5, ""heightCm"": 15.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": 38.5, ""depthCm"": 38.5, ""heightCm"": 15.5}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",ported,Cable management hole in back panel,"Oak, real oak veneer, manufactured wood and pine internals",Hand-waxed oak,,12 month guarantee,,,1-3 working days,,,"Clears all three gates: 44cm top takes the TV base and soundbar in line, and the 78x40.5x15.5cm open shelf takes a flat PS5 with airflow to spare. Arrives fully assembled."
Roseland Furniture,Roseland,Farro Washed Oak 180cm Extra Wide TV Stand,https://www.roselandfurniture.com/products/farrow-oak-180cm-extra-wide-tv-stand,Washed oak,,274.95,19.99,,294.94,,yes,floor,180,35,,180,35,48,"[{""kind"": ""open"", ""count"": 4, ""widthCm"": 42, ""depthCm"": 32.5, ""heightCm"": 14}, {""kind"": ""door"", ""count"": 2, ""widthCm"": 37, ""depthCm"": 30.5, ""heightCm"": 14}]",open,Holes behind shelves,"Washed oak, pine, veneer, manufactured wood, metal",,7cm feet,12 months,,,3-5 working days,,,Same shape problem as the London Oak: the bay takes a PS5 but the 35cm top cannot take the TV base and soundbar in line.
Roseland Furniture,Roseland,Shorwell Oak 180cm Slatted TV Unit,https://www.roselandfurniture.com/products/shorwell-oak-180cm-slatted-tv-unit,Oak,,399.95,19.99,,419.94,,self,floor,180,36,,180,36,50,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": 76.4, ""depthCm"": 31.7, ""heightCm"": 13}, {""kind"": ""door"", ""count"": 2, ""widthCm"": 46.3, ""depthCm"": 31.7, ""heightCm"": 25.8}]",ported,Cable management holes,"Oak, oak veneers, manufactured wood, metal",,,12 month guarantee,,,1-3 working days,,,"Misses the soundbar depth gate by a single centimetre: 36cm against the 37cm the TV base and bar need. Minimal assembly, about 20 minutes."
Dunelm,Dunelm,Olney Extra Wide TV Unit Stone,https://www.dunelm.com/product/olney-extra-wide-tv-unit-stone-1000231952,Stone,,219,12.95,,231.95,,self,floor,180,39,,180,39,45,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 82.5, ""depthCm"": null, ""heightCm"": 13}, {""kind"": ""open"", ""count"": 1, ""widthCm"": 82.5, ""depthCm"": null, ""heightCm"": 15}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,Cable holes,Particleboard with paper foil,Stone with brushed brass handles,,,,Free returns,,4.3,62,"Deep enough for the soundbar. Shelf widths and heights are published but not shelf depth, so the PS5 verdict stays unconfirmed until someone measures it."
Dunelm,Dunelm,Bryant Extra Wide TV Unit,https://www.dunelm.com/product/bryant-extra-wide-tv-unit-1000214661,,,249,12.95,,261.95,,self,floor,180,38,,180,38,40.5,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": 57.5, ""depthCm"": null, ""heightCm"": 10}, {""kind"": ""drawer"", ""count"": 3, ""widthCm"": 52, ""depthCm"": 28.3, ""heightCm"": 6}]",,,"91% particle board, 8% MDF, 1% iron",,,,,Free returns,,4.6,69,"Open shelves are only 10cm high, so a 9.6cm PS5 would have essentially no airflow above it. Ruled out on the bay even though the shelf depth is unpublished."
Dunelm,Dunelm,Georgi Extra Wide TV Unit Black,https://www.dunelm.com/product/georgi-extra-wide-tv-unit-black-1000201605,Black,,249,12.95,,261.95,,self,floor,180,39.6,,180,39.6,52,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": 45.4, ""depthCm"": null, ""heightCm"": 29.2}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,60mm cable apertures,"Melamine, paint, lacquer, steel, powder coating",Black with matte gold handles and legs,16.6cm legs,,,Free returns,,4.7,314,"Best reviewed in the corpus. Shelf depth not published, so the PS5 verdict is unconfirmed rather than failed."
House of Oak,House of Oak,Chatsworth Oak Large TV Unit,https://www.houseofoak.co.uk/chatsworth-oak-large-tv-unit/,Oak,,499.99,,,499.99,,self,floor,180,44,,180,44,55,[],,,Solid oak,,,,,,,,,"Product page blocked automated access; width, depth, height and price taken from the retailer's own search listing. Compartment layout and internal sizes unverified, and delivery cost unknown so landed cost is the item price alone."
